url	imdb_url	Title	Year
/wiki/20,000_Leagues_Under_the_Sea_(1954_film)	tt0046672	20000 Leagues Under the Sea	1954
/wiki/2001:_A_Space_Odyssey_(film)	tt0062622	2001: A Space Odyssey	1968
/wiki/Seventh_Heaven_(1927_film)	tt0018379	7th Heaven	1927
/wiki/8_Mile_(film)	tt0298203	8 Mile	2002
/wiki/The_Abyss	tt0096754	The Abyss	1989
/wiki/The_Accidental_Tourist_(film)	tt0094606	The Accidental Tourist	1988
/wiki/The_Accountant_(2001_film)	tt0222675	The Accountant	2001
/wiki/The_Accused_(1988_film)	tt0094608	The Accused	1988
/wiki/Adaptation_(film)	tt0268126	Adaptation.	2002
/wiki/Adventures_of_Don_Juan	tt0040076	Adventures of Don Juan	1948
/wiki/The_Adventures_of_Priscilla,_Queen_of_the_Desert	tt0109045	The Adventures of Priscilla, Queen of the Desert	1994
/wiki/The_Adventures_of_Robin_Hood_(film)	tt0029843	The Adventures of Robin Hood	1938
/wiki/Affliction_(film)	tt0118564	Affliction	1997
/wiki/The_African_Queen_(film)	tt0043265	The African Queen	1951
/wiki/The_Age_of_Innocence_(1993_film)	tt0106226	The Age of Innocence	1993
/wiki/Air_Force_(film)	tt0035616	Air Force	1943
/wiki/Airport_(1970_film)	tt0065377	Airport	1970
/wiki/Aladdin_(1992_Disney_film)	tt0103639	Aladdin	1992
/wiki/The_Alamo_(1960_film)	tt0053580	The Alamo	1960
/wiki/The_Alaskan_Eskimo	tt0045485	The Alaskan Eskimo	1953
/wiki/Albert_Schweitzer_(film)	tt0050109	Albert Schweitzer	1957
/wiki/Alexander%27s_Ragtime_Band_(film)	tt0029852	Alexander's Ragtime Band	1938
/wiki/Alice_in_Wonderland_(2010_film)	tt1014759	Alice in Wonderland	2010
/wiki/Alice_Doesn%27t_Live_Here_Anymore	tt0071115	Alice Doesn't Live Here Anymore	1974
/wiki/Alien_(film)	tt0078748	Alien	1979
/wiki/Aliens_(film)	tt0090605	Aliens	1986
/wiki/All_About_Eve	tt0042192	All About Eve	1950
/wiki/All_About_My_Mother	tt0185125	All About My Mother	1999
/wiki/All_Quiet_on_the_Western_Front_(1930_film)	tt0020629	All Quiet on the Western Front	1930
/wiki/All_That_Jazz_(film)	tt0078754	All That Jazz	1979
/wiki/The_Devil_and_Daniel_Webster_(1941_film)	tt0033532	The Devil and Daniel Webster	1941
/wiki/All_the_King%27s_Men_(1949_film)	tt0041113	All the King's Men	1949
/wiki/All_the_President%27s_Men_(film)	tt0074119	All the President's Men	1976
/wiki/Almost_Famous	tt0181875	Almost Famous	2000
/wiki/Ama_Girls	tt0051339	Ama Girls	1958
/wiki/Amadeus_(film)	tt0086879	Amadeus	1984
/wiki/Amarcord	tt0071129	Amarcord	1973
/wiki/America,_America	tt0056825	America America	1963
/wiki/American_Beauty_(film)	tt0169547	American Beauty	1999
/wiki/American_Dream_(film)	tt0099028	American Dream	1990
/wiki/An_American_in_Paris_(film)	tt0043278	An American in Paris	1951
/wiki/An_American_Werewolf_in_London	tt0082010	An American Werewolf in London	1981
/wiki/Amour_(2012_film)	tt1602620	Amour	2012
/wiki/Amphibious_Fighters	tt0035634	Amphibious Fighters	1943
/wiki/Anastasia_(1956_film)	tt0048947	Anastasia	1956
/wiki/Anchors_Aweigh_(film)	tt0037514	Anchors Aweigh	1945
/wiki/The_Anderson_Platoon	tt0062244	The Anderson Platoon	1967
/wiki/Angel_and_Big_Joe	tt0072646	Angel and Big Joe	1975
/wiki/Anna_%26_Bella	tt0088725	Anna & Bella	1984
/wiki/Anna_and_the_King_of_Siam_(film)	tt0038303	Anna and the King of Siam	1946
/wiki/Anna_Karenina_(2012_film)	tt1781769	Anna Karenina	2012
/wiki/Anne_Frank_Remembered	tt0112373	Anne Frank Remembered	1995
/wiki/Anne_of_the_Thousand_Days	tt0064030	Anne of the Thousand Days	1969
/wiki/Annie_Get_Your_Gun_(film)	tt0042200	Annie Get Your Gun	1950
/wiki/Annie_Hall	tt0075686	Annie Hall	1977
/wiki/Anthony_Adverse	tt0027300	Anthony Adverse	1936
/wiki/Antonia%27s_Line_(film)	tt0112379	Antonia's Line	1995
/wiki/The_Apartment	tt0053604	The Apartment	1960
/wiki/Apocalypse_Now	tt0078788	Apocalypse Now	1979
/wiki/Apollo_13_(film)	tt0112384	Apollo 13	1995
/wiki/The_Appointments_of_Dennis_Jennings	tt0094670	The Appointments of Dennis Jennings	1988
/wiki/Aquatic_House_Party	tt0041130	Aquatic House Party	1950
/wiki/Argo_(2012_film)	tt1024648	Argo	2012
/wiki/Arise,_My_Love	tt0032220	Arise, My Love	1940
/wiki/Around_the_World_in_Eighty_Days_(1956_film)	tt0048960	Around the World in Eighty Days	1956
/wiki/Arthur_(1981_film)	tt0082031	Arthur	1981
/wiki/Arthur_Rubinstein_-_The_Love_of_Life	tt0064043	Love of Life	1969
/wiki/Artie_Shaw:_Time_Is_All_You%27ve_Got	tt0088740	Artie Shaw: Time Is All You've Got	1985
/wiki/The_Artist_(film)	tt1655442	The Artist	2011
/wiki/As_Good_as_It_Gets	tt0119822	As Good as It Gets	1997
/wiki/The_Assault_(film)	tt0090576	The Assault	1986
/wiki/Atonement_(film)	tt0783233	Atonement	2007
/wiki/Avatar_(2009_film)	tt0499549	Avatar	2009
/wiki/The_Aviator_(2004_film)	tt0338751	The Aviator	2004
/wiki/The_Awful_Truth	tt0028597	The Awful Truth	1937
/wiki/Babe_(film)	tt0112431	Babe	1995
/wiki/Babel_(film)	tt0449467	Babel	2006
/wiki/Babette%27s_Feast	tt0092603	Babette's Feast	1987
/wiki/The_Bachelor_and_the_Bobby-Soxer	tt0039169	The Bachelor and the Bobby-Soxer	1947
/wiki/Back_to_the_Future	tt0088763	Back to the Future	1985
/wiki/The_Bad_and_the_Beautiful	tt0044391	The Bad and the Beautiful	1952
/wiki/Bad_Girl_(1931_film)	tt0021635	Bad Girl	1931
/wiki/Balance_(1989_film)	tt0096880	Balance	1989
/wiki/The_Barbarian_Invasions	tt0338135	The Barbarian Invasions	2003
/wiki/The_Barefoot_Contessa	tt0046754	The Barefoot Contessa	1954
/wiki/Barry_Lyndon	tt0072684	Barry Lyndon	1975
/wiki/Batman_(1989_film)	tt0096895	Batman	1989
/wiki/The_Battle_of_Midway	tt0034498	The Battle of Midway	1942
