id	title	year	nom	won	directed_by	running_time	screenplay_by	produced_by	starring	music_by	cinematography	editing_by	distributed_by	release_dates	story_by	studio	country	language	budget	box_office	url	key	best_pic	best_actor	best_cinemato	best_director	best_foreign	palme	goldenbear	goldenlion	htmlpath	best_actress	best_supp_actress	best_supp_actor	create_dt	update_dt	canonical	imdbid
	The Squaw Man	1914			Oscar Apfel,Cecil B. DeMille	74 minutes		Cecil B. DeMille,Jesse L. Lasky	Dustin Farnum		Alfred Gandolfi	Mamie Wagner	Famous Players-Lasky Corporation	February 12, 1914 (1914-02-12) (United States)	Beulah Marie Dix		United States	Silent,English intertitles		$244,700	/wiki/The_Squaw_Man_(1914_film)	thesquawman									wiki/The_Squaw_Man_(1914_film).html					2016-03-08 21:42:47	/wiki/The_Squaw_Man_(1914_film)	tt0004635
	Brewster's Millions	1914			Oscar Apfel,Cecil B. DeMille	5 reels			Edward Abeles		Alvin Wyckoff		Paramount Pictures	April 15, 1914 (1914-04-15)			United States	Silent			/wiki/Brewster's_Millions_(1914_film)	brewstersmillions									wiki/Brewster's_Millions_(1914_film).html					2016-03-08 00:16:31	/wiki/Brewster%27s_Millions_(1914_film)	tt0003698
	The Master Mind	1914			Oscar Apfel,Cecil B. DeMille (uncredited)				Edmund Breese					May 11, 1914 (1914-05-11)			United States	Silent,English intertitles			/wiki/The_Master_Mind	themastermind									wiki/The_Master_Mind.html					2016-03-08 21:42:50	/wiki/The_Master_Mind	tt0004314
	The Only Son	1914			Oscar Apfel,Cecil B. DeMille,William C. de Mille,Thomas N. Heffron	50 minutes			James Blackwell				Famous Players-Lasky	June 15, 1914 (1914-06-15)			United States	Silent			/wiki/The_Only_Son_(1914_film)	theonlyson									wiki/The_Only_Son_(1914_film).html					2016-03-08 21:42:54	/wiki/The_Only_Son_(1914_film)	tt0004434
	The Man on the Box	1914			Oscar Apfel,Cecil B. DeMille (uncredited)				Horace B. Carpenter					July 13, 1914 (1914-07-13)			United States	Silent			/wiki/The_Man_on_the_Box	themanonthebox									wiki/The_Man_on_the_Box.html					2016-03-08 21:43:01	/wiki/The_Man_on_the_Box	tt0004302
	The Call of the North	1914			Oscar Apfel,Cecil B. DeMille			Cecil B. DeMille	Robert Edeson		Alvin Wyckoff	Mamie Wagner	Paramount Pictures	August 10, 1914 (1914-08-10)			United States	Silent (English intertitles)			/wiki/The_Call_of_the_North_(1914_film)	thecallofthenorth									wiki/The_Call_of_the_North_(1914_film).html					2016-03-09 00:30:36	/wiki/The_Call_of_the_North_(1914_film)	tt0003743
	The Virginian	1914			Cecil B. DeMille	50 min.		Jesse L. Lasky	Dustin Farnum		Alvin Wyckoff	Cecil B. DeMille,Mamie Wagner	Paramount Pictures	September 7, 1914 (1914-09-07)			United States	Silent (English intertitles)			/wiki/The_Virginian_(1914_film)	thevirginian									wiki/The_Virginian_(1914_film).html					2016-03-08 21:43:12	/wiki/The_Virginian_(1914_film)	tt0004766
	What's His Name	1914			Cecil B. DeMille	Five reels		Cecil B. DeMille,Jesse L. Lasky	Max Figman		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	October 22, 1914 (1914-10-22)			United States	Silent,English intertitles			/wiki/What's_His_Name	whatshisname									wiki/What's_His_Name.html					2016-03-08 11:21:16	/wiki/What%27s_His_Name	tt0004792
	The Man From Home	1914			Cecil B. DeMille	5 reels		Jesse L. Lasky,Cecil B. DeMille	Charles Richman		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	November 9, 1914 (1914-11-09)			United States	Silent,English intertitles			/wiki/The_Man_from_Home_(1914_film)	themanfromhome									wiki/The_Man_from_Home_(1914_film).html					2016-03-08 21:43:17	/wiki/The_Man_from_Home_(1914_film)	tt0004294
	Rose of the Rancho	1914			Cecil B. DeMille			Cecil B. DeMille,Jesse L. Lasky	Bessie Barriscale		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	November 15, 1914 (1914-11-15)			United States	Silent	$16,988 (estimated)	$87,028	/wiki/Rose_of_the_Rancho	roseoftherancho									wiki/Rose_of_the_Rancho.html					2016-03-08 21:43:21	/wiki/Rose_of_the_Rancho	tt0004545
	The Ghost Breaker	1914			Cecil B. DeMille,Oscar C. Apfel	60 minutes		Cecil B. DeMille,Jesse L. Lasky	H. B. Warner				Famous Players-Lasky,Paramount Pictures	December 7, 1914 (1914-12-07)			United States	Silent,English intertitles			/wiki/The_Ghost_Breaker_(1914_film)	theghostbreaker									wiki/The_Ghost_Breaker_(1914_film).html					2016-03-08 21:43:25	/wiki/The_Ghost_Breaker_(1914_film)	tt0004013
	The Birth of a Nation	1915			D. W. Griffith	133 minutes[2] (Original release),190 minutes (at 16 frame/s)	D. W. Griffith,Frank E. Woods	D. W. Griffith,Harry Aitken[1]	Lillian Gish,Mae Marsh,Henry B. Walthall,Miriam Cooper,Ralph Lewis,George Siegmann,Walter Long	Joseph Carl Breil	G.W. Bitzer	D. W. Griffith	Epoch Producing Co.	February 8, 1915 (1915-02-08)		David W. Griffith Corp.	United States	Silent film,English intertitles	>$100,000[3]	unknown; estimated $50–100 million[4]	/wiki/The_Birth_of_a_Nation	thebirthofanation									wiki/The_Birth_of_a_Nation.html					2016-03-08 18:51:48	/wiki/The_Birth_of_a_Nation	tt0004972
	The Girl of the Golden West	1915			Cecil B. DeMille	50 minutes		Cecil B. DeMille	Mabel Van Buren		Alvin Wyckoff	Cecil B. DeMille,W. Donn Hayes	Paramount Pictures	January 4, 1915 (1915-01-04)			United States	Silent			/wiki/The_Girl_of_the_Golden_West_(1915_film)	thegirlofthegoldenwest									wiki/The_Girl_of_the_Golden_West_(1915_film).html					2016-03-08 21:43:29	/wiki/The_Girl_of_the_Golden_West_(1915_film)	tt0005393
	After Five	1915			Cecil B. DeMille,Oscar Apfel	50 minutes	William C. DeMille		Edward Abeles		Alfredo Gondolf		Paramount Pictures	January 28, 1915 (1915-01-28)			United States	Silent,English intertitles			/wiki/After_Five	afterfive									wiki/After_Five.html					2016-03-08 21:43:35	/wiki/After_Five	tt0004866
